Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,07X343,,,,24,,*,*,*,*,,,10,13.2,8.2,*,*,*,7,9.9,5.6,7,9.3,7.8,*,*,*,*,,
2020,,07X359,,,,26,,*,*,*,*,,,*,,,*,*,*,21,6.5,3.9,*,,,*,*,*,*,,
2020,,07X369,,,,30,,*,*,*,*,,,7,5.5,4.2,*,*,*,8,3.7,3.0,12,6.1,4.3,*,*,*,*,,
2020,,07X584,,,,24,,*,*,*,*,,,8,12.8,2.0,*,*,*,7,6.7,1.6,5,2.1,1.3,*,*,*,*,,
2020,,08X014,,,,36,,*,*,*,*,,,*,,,*,*,*,9,15.3,13.4,23,15.7,13.0,*,*,*,*,,
2020,,08X036,,,,56,,*,*,*,*,,,*,,,*,*,*,25,13.4,12.6,29,13.0,10.8,*,*,*,*,,
2020,,08X048,,,,63,,*,*,*,*,,,12,14.4,8.8,*,*,*,23,12.6,10.7,24,11.1,9.8,*,*,*,*,,
2020,,08X062,,,,52,,*,*,*,*,,,5,14.8,12.8,*,*,*,19,13.9,13.4,25,10.8,10.1,*,*,*,*,,
2020,,08X069,,,,44,,*,*,*,*,,,9,14.4,10.7,*,*,*,11,15.1,13.4,20,9.3,8.2,*,*,*,*,,
2020,,08X071,,,,111,,*,*,*,*,,,*,,,*,*,*,27,11.2,8.0,74,11.6,10.0,*,*,*,*,,
2020,,08X072,,,,56,,*,*,*,*,,,5,15.8,14.5,*,*,*,13,14.6,11.3,36,13.7,11.5,*,*,*,*,,
2020,,08X075,,,,48,,*,*,*,*,,,5,12.1,8.7,*,*,*,20,16.5,15.2,17,12.8,11.9,*,*,*,*,,
2020,,08X093,,,,36,,*,*,*,*,,,6,19.4,17.4,*,*,*,11,17.2,14.2,18,10.4,8.7,*,*,*,*,,
2020,,08X100,,,,43,,*,*,*,*,,,5,13.0,7.7,*,*,*,8,9.2,8.6,29,14.5,12.8,*,*,*,*,,
2020,,08X101,,,,44,,*,*,*,*,,,*,,,*,*,*,9,6.9,4.3,28,9.8,6.4,*,*,*,*,,
2020,,08X107,,,,46,,*,*,*,*,,,18,15.2,10.3,*,*,*,11,13.1,6.7,14,9.4,9.4,*,*,*,*,,
2020,,08X119,,,,52,,*,*,*,*,,,*,,,*,*,*,14,14.3,9.6,31,15.7,13.3,*,*,*,*,,
2020,,08X123,,,,42,,*,*,*,*,,,14,10.2,5.3,*,*,*,7,5.1,4.4,17,7.2,4.7,*,*,*,*,,
2020,,08X130,,,,34,,*,*,*,*,,,*,,,*,*,*,10,17.6,12.4,16,9.6,8.7,*,*,*,*,,
2020,,08X131,,,,35,,*,*,*,*,,,9,15.3,9.8,*,*,*,*,,,19,11.0,9.7,*,*,*,*,,
2020,,08X138,,,,47,,*,*,*,*,,,21,15.5,12.7,*,*,*,7,14.7,12.7,18,12.2,8.1,*,*,*,*,,
2020,,08X140,,,,46,,*,*,*,*,,,21,15.5,7.9,*,*,*,10,17.6,7.0,12,13.0,4.9,*,*,*,*,,
2020,,08X146,,,,31,,*,*,*,*,,,20,15.5,8.2,*,*,*,6,13.3,12.2,*,,,*,*,*,*,,
2020,,08X152,,,,64,,*,*,*,*,,,14,12.7,12.3,*,*,*,16,11.7,10.3,32,10.9,7.3,*,*,*,*,,
2020,,08X182,,,,48,,*,*,*,*,,,*,,,*,*,*,11,9.2,9.1,35,13.4,12.2,*,*,*,*,,
2020,,08X301,,,,21,,*,*,*,*,,,10,10.9,8.6,*,*,*,*,,,5,6.1,1.0,*,*,*,*,,
2020,,08X302,,,,43,,*,*,*,*,,,16,6.7,4.1,*,*,*,19,5.4,4.1,5,7.8,3.6,*,*,*,*,,
2020,,08X304,,,,35,,*,*,*,*,,,*,,,*,*,*,7,20.9,15.1,25,12.1,9.4,*,*,*,*,,
2020,,08X333,,,,49,,*,*,*,*,,,8,15.8,6.1,*,*,*,21,10.9,5.6,18,11.1,6.0,*,*,*,*,,
2020,,08X337,,,,38,,*,*,*,*,,,*,,,*,*,*,5,4.1,4.1,28,5.1,3.5,*,*,*,*,,
2020,ARCHIMEDES ACADEMY FOR MATH  SCIENCE AND TECHNOLOG,08X367,,,,48,,*,*,*,*,,,*,,,*,*,*,9,12.1,5.6,30,8.0,4.8,*,*,*,*,,
2020,,08X371,,,,30,,*,*,*,*,,,*,,,*,*,*,5,6.6,5.6,22,7.6,4.4,*,*,*,*,,
2020,,08X375,,,,22,,*,*,*,*,,,9,8.4,4.1,*,*,*,*,,,7,11.2,4.4,*,*,*,*,,
2020,,08X392,,,,36,,*,*,*,*,,,*,,,*,*,*,6,7.2,2.5,25,7.5,2.3,*,*,*,*,,
2020,,08X424,,,,29,,*,*,*,*,,,7,7.3,2.1,*,*,*,7,4.1,0.9,13,6.5,1.9,*,*,*,*,,
2020,,08X448,,,,29,,*,*,*,*,,,8,7.4,3.6,*,*,*,12,6.8,3.5,8,4.4,2.9,*,*,*,*,,
2020,,08X467,,,,26,,*,*,*,*,,,*,,,*,*,*,*,,,20,10.1,3.8,*,*,*,*,,
2020,BRONX ARENA HIGH SCHOOL,08X537,,,,16,,*,*,*,*,,,*,,,*,*,*,*,,,9,6.6,4.6,*,*,*,*,,
2020,SCHOOL FOR TOURISM AND HOSPITALITY,08X559,,,,25,,*,*,*,*,,,9,10.7,3.1,*,*,*,5,9.7,3.3,9,15.4,4.6,*,*,*,*,,
2020,,08X562,,,,56,,*,*,*,6,7.3,2.0,20,11.9,2.1,*,*,*,9,12.5,1.3,19,7.2,1.6,*,*,*,*,,
2020,,08X583,,,,19,,*,*,*,*,,,*,,,*,*,*,8,7.4,1.1,7,4.4,1.6,*,*,*,*,,
2020,,09X004,,,,46,,*,*,*,*,,,10,4.0,4.0,*,*,*,9,2.7,2.7,25,3.2,3.1,*,*,*,*,,
2020,,09X011,,,,49,,*,*,*,*,,,13,11.0,9.9,*,*,*,13,14.2,11.5,21,12.0,8.6,*,*,*,*,,
2020,,09X022,,,,46,,*,*,*,*,,,11,8.2,6.0,*,*,*,17,9.6,8.0,14,3.9,3.5,*,*,*,*,,
2020,,09X028,,,,65,,*,*,*,*,,,15,11.3,7.1,*,*,*,35,11.0,6.3,14,11.6,8.9,*,*,*,*,,
2020,,09X035,,,,49,,*,*,*,*,,,14,15.5,13.0,*,*,*,18,11.6,9.3,13,6.8,4.9,*,*,*,*,,
2020,,09X042,,,,39,,*,*,*,*,,,9,16.4,14.5,*,*,*,9,14.4,9.1,20,5.7,5.4,*,*,*,*,,
2020,,09X053,,,,80,,*,*,*,5,9.9,9.3,43,12.8,7.9,*,*,*,21,14.5,9.1,11,10.6,7.8,*,*,*,*,,
2020,,09X055,,,,49,,*,*,*,*,,,20,14.4,12.8,*,*,*,14,10.9,8.2,12,9.7,7.3,*,*,*,*,,
2020,,09X058,,,,34,,*,*,*,*,,,9,17.5,9.5,*,*,*,14,19.0,14.4,8,11.0,8.9,*,*,*,*,,
2020,,09X063,,,,44,,*,*,*,*,,,6,13.6,9.3,*,*,*,12,7.8,6.8,22,7.7,6.8,*,*,*,*,,
2020,,09X070,,,,88,,*,*,*,5,6.4,6.3,16,10.2,9.1,*,*,*,29,13.1,11.7,36,10.4,7.8,*,*,*,*,,
2020,,09X073,,,,45,,*,*,*,*,,,7,20.3,15.1,*,*,*,26,12.0,8.6,8,12.3,10.7,*,*,*,*,,
2020,,09X088,,,,13,,*,*,*,*,,,*,,,*,*,*,*,,,9,3.2,0.6,*,*,*,*,,
2020,,09X109,,,,54,,*,*,*,*,,,9,9.0,5.1,*,*,*,17,7.9,4.6,26,5.7,5.4,*,*,*,*,,
2020,,09X110,,,,28,,*,*,*,*,,,7,20.3,14.2,*,*,*,8,8.4,5.0,12,13.3,10.3,*,*,*,*,,
2020,,09X114,,,,60,,*,*,*,*,,,22,12.3,5.7,*,*,*,17,12.2,8.7,17,12.1,10.3,*,*,*,*,,
2020,,09X117,,,,45,,*,*,*,*,,,17,14.9,10.6,*,*,*,14,12.5,9.6,10,11.7,9.7,*,*,*,*,,
2020,,09X126,,,,45,,*,*,*,*,,,19,12.4,6.5,*,*,*,15,11.3,8.8,9,11.8,7.5,*,*,*,*,,
2020,,09X128,,,,25,,*,*,*,*,,,5,15.7,9.5,*,*,*,5,9.6,5.6,13,4.9,4.4,*,*,*,*,,
2020,,09X132,,,,35,,*,*,*,*,,,14,12.5,8.9,*,*,*,8,8.5,6.5,10,8.1,6.5,*,*,*,*,,
2020,,09X163,,,,43,,*,*,*,*,,,17,8.2,5.7,*,*,*,14,9.3,9.3,10,10.1,9.0,*,*,*,*,,
2020,,09X170,,,,22,,*,*,*,*,,,*,,,*,*,*,11,9.6,7.7,7,14.3,12.6,*,*,*,*,,
2020,,09X199,,,,55,,*,*,*,*,,,10,13.0,8.7,*,*,*,29,11.9,7.7,13,11.2,7.8,*,*,*,*,,
2020,,09X204,,,,43,,*,*,*,*,,,*,,,*,*,*,7,22.1,15.2,30,11.9,11.0,*,*,*,*,,
2020,,09X215,,,,32,,*,*,*,*,,,20,11.2,5.3,*,*,*,*,,,7,6.8,5.8,*,*,*,*,,
2020,,09X218,,,,74,,*,*,*,*,,,*,,,*,*,*,50,8.9,7.4,12,10.4,7.8,*,*,*,*,,
2020,,09X219,,,,39,,*,*,*,*,,,17,13.6,7.5,*,*,*,12,9.5,5.2,9,7.4,3.9,*,*,*,*,,
2020,,09X229,,,,31,,*,*,*,*,,,17,12.5,7.8,*,*,*,8,10.4,5.1,5,12.9,5.5,*,*,*,*,,
2020,,09X232,,,,36,,*,*,*,*,,,6,4.6,4.3,*,*,*,24,8.7,4.6,*,,,*,*,*,*,,
2020,,09X236,,,,30,,*,*,*,*,,,6,15.3,9.5,*,*,*,8,19.5,16.6,15,11.3,8.5,*,*,*,*,,
2020,,09X274,,,,63,,*,*,*,*,,,17,6.0,2.8,*,*,*,19,7.5,3.6,24,6.5,2.9,*,*,*,*,,
2020,,09X294,,,,43,,*,*,*,*,,,6,8.9,3.6,*,*,*,19,7.4,3.1,15,7.6,3.9,*,*,*,*,,
2020,,09X303,,,,32,,*,*,*,*,,,11,8.2,5.9,*,*,*,*,,,14,7.2,4.9,*,*,*,*,,
2020,,09X311,,,,35,,*,*,*,*,,,6,11.0,1.3,*,*,*,18,6.5,2.0,7,7.7,3.2,*,*,*,*,,
2020,,09X313,,,,35,,*,*,*,*,,,16,12.2,3.8,*,*,*,10,13.6,11.5,6,7.2,4.4,*,*,*,*,,
2020,,09X323,,,,40,,*,*,*,*,,,14,11.4,7.9,*,*,*,13,8.7,6.4,10,4.6,3.7,*,*,*,*,,
2020,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,09X324,,,,37,,*,*,*,*,,,6,8.0,4.8,*,*,*,8,4.8,3.3,21,5.1,3.7,*,*,*,*,,
2020,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,09X327,,,,54,,*,*,*,*,,,14,8.3,5.1,*,*,*,19,9.5,5.3,15,6.5,4.5,*,*,*,*,,
2020,,09X328,,,,27,,*,*,*,*,,,11,12.3,5.3,*,*,*,7,8.8,1.4,8,10.3,3.9,*,*,*,*,,
2020,,09X339,,,,54,,*,*,*,*,,,23,13.1,5.1,*,*,*,20,10.6,7.3,10,5.9,3.7,*,*,*,*,,
2020,,09X443,,,,46,,*,*,*,*,,,5,16.4,5.1,*,*,*,14,11.5,6.3,21,6.9,4.4,*,*,*,*,,
2020,,09X449,,,,40,,*,*,*,*,,,7,10.6,5.2,*,*,*,8,6.5,3.5,23,8.9,5.0,*,*,*,*,,
2020,,09X454,,,,37,,*,*,*,*,,,5,5.9,4.4,*,*,*,12,5.7,5.7,16,4.7,4.6,*,*,*,*,,
2020,,09X457,,,,38,,*,*,*,*,,,*,,,*,*,*,18,13.6,5.1,15,12.0,5.6,*,*,*,*,,
2020,,09X555,,,,28,,*,*,*,*,,,*,,,*,*,*,12,6.3,4.6,12,8.4,4.6,*,*,*,*,,
2020,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,09X568,,,,39,,*,*,*,*,,,5,3.8,2.8,*,*,*,8,6.4,3.2,19,4.8,3.2,*,*,*,*,,
2020,,09X593,,,,10,,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,,09X594,,,,21,,*,*,*,*,,,11,3.0,0.9,*,*,*,*,,,*,,,*,*,*,*,,
2020,,10X003,,,,29,,*,*,*,*,,,5,13.6,9.3,*,*,*,6,3.6,3.0,16,8.9,8.0,*,*,*,*,,
2020,,10X007,,,,44,,*,*,*,*,,,*,,,*,*,*,11,13.6,11.2,29,14.1,8.3,*,*,*,*,,
2020,,10X008,,,,75,,*,*,*,*,,,*,,,*,*,*,14,16.6,11.6,54,11.6,10.5,*,*,*,*,,
2020,,10X009,,,,66,,*,*,*,5,7.5,7.3,13,16.9,8.5,*,*,*,22,12.1,8.5,23,8.3,7.3,*,*,*,*,,
2020,,10X015,,,,35,,*,*,*,*,,,13,16.3,14.4,*,*,*,6,15.5,13.5,15,8.9,7.6,*,*,*,*,,
2020,,10X020,,,,75,,*,*,*,6,19.0,18.4,9,10.4,6.2,*,*,*,17,15.3,12.9,41,10.6,8.6,*,*,*,*,,
2020,,10X023,,,,37,,*,*,*,*,,,*,,,*,*,*,15,15.7,16.5,20,17.0,16.9,*,*,*,*,,
2020,,10X024,,,,52,,*,*,*,*,,,*,,,*,*,*,*,,,46,9.8,7.0,*,*,*,*,,
2020,,10X032,,,,63,,*,*,*,*,,,*,,,*,*,*,16,9.2,8.7,42,10.3,8.2,*,*,*,*,,
2020,,10X033,,,,60,,*,*,*,*,,,10,15.3,13.2,*,*,*,24,9.6,9.4,23,11.2,10.2,*,*,*,*,,
2020,,10X037,,,,46,,*,*,*,*,,,7,13.8,11.4,*,*,*,10,18.4,11.7,28,10.7,9.2,*,*,*,*,,
2020,,10X045,,,,57,,*,*,*,*,,,6,7.8,6.3,*,*,*,8,10.4,8.6,37,11.9,10.2,*,*,*,*,,
2020,,10X046,,,,66,,*,*,*,*,,,13,12.0,10.0,*,*,*,30,14.7,12.6,20,13.7,12.8,*,*,*,*,,
2020,,10X051,,,,16,,*,*,*,*,,,*,,,*,*,*,5,2.8,3.4,8,5.0,4.1,*,*,*,*,,
2020,,10X054,,,,35,,*,*,*,*,,,*,,,*,*,*,17,7.7,6.6,12,10.6,9.5,*,*,*,*,,
2020,,10X056,,,,49,,*,*,*,*,,,*,,,*,*,*,9,10.8,6.5,34,14.1,13.2,*,*,*,*,,
2020,,10X059,,,,45,,*,*,*,*,,,5,21.7,21.7,*,*,*,14,18.4,16.7,24,14.3,12.9,*,*,*,*,,
2020,,10X077,,,,37,,*,*,*,*,,,*,,,*,*,*,20,5.2,2.3,10,3.0,1.4,*,*,*,*,,
2020,,10X080,,,,47,,*,*,*,*,,,5,5.9,2.5,*,*,*,27,5.3,3.1,9,3.1,2.5,*,*,*,*,,
2020,,10X081,,,,52,,*,*,*,*,,,*,,,*,*,*,7,7.5,7.1,44,9.9,8.6,*,*,*,*,,
2020,,10X085,,,,77,,*,*,*,*,,,10,9.8,9.2,*,*,*,18,12.2,9.6,42,11.2,10.3,*,*,*,*,,
2020,,10X086,,,,126,,*,*,*,5,15.7,15.3,*,,,*,*,*,49,11.8,11.7,68,7.8,7.7,*,*,*,*,,
2020,,10X091,,,,52,,*,*,*,*,,,6,17.4,15.4,*,*,*,20,15.1,14.1,25,8.4,7.5,*,*,*,*,,
2020,,10X094,,,,103,,*,*,*,*,,,17,13.8,9.4,*,*,*,46,8.8,7.8,38,9.8,8.7,*,*,*,*,,
2020,,10X095,,,,86,,*,*,*,*,,,13,12.2,6.3,*,*,*,21,10.6,7.2,49,10.4,8.7,*,*,*,*,,
2020,,10X118,,,,85,,*,*,*,*,,,19,9.9,3.7,*,*,*,16,9.5,7.0,46,11.4,7.6,*,*,*,*,,
2020,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,10X141,,,,98,,*,*,*,*,,,9,14.0,5.8,*,*,*,18,12.1,9.2,63,11.4,7.9,*,*,*,*,,
2020,,10X159,,,,14,,*,*,*,*,,,*,,,*,*,*,12,13.1,12.2,*,,,*,*,*,*,,
2020,,10X205,,,,70,,*,*,*,*,,,5,18.9,14.4,*,*,*,20,9.3,8.1,44,12.7,12.1,*,*,*,*,,
2020,,10X206,,,,22,,*,*,*,*,,,*,,,*,*,*,8,13.3,7.9,9,15.4,8.6,*,*,*,*,,
2020,,10X207,,,,32,,*,*,*,*,,,*,,,*,*,*,11,12.3,2.6,16,6.8,2.5,*,*,*,*,,
2020,,10X209,,,,22,,*,*,*,*,,,*,,,*,*,*,*,,,19,6.0,5.6,*,*,*,*,,
2020,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,,,,45,,*,*,*,*,,,8,6.8,2.8,*,*,*,*,,,26,9.3,6.6,*,*,*,*,,
2020,,10X226,,,,32,,*,*,*,*,,,*,,,*,*,*,13,7.9,6.1,17,7.6,5.3,*,*,*,*,,
2020,,10X228,,,,19,,*,*,*,*,,,*,,,*,*,*,6,11.7,7.0,8,7.5,5.3,*,*,*,*,,
2020,,10X244,,,,61,,*,*,*,*,,,8,9.9,8.9,*,*,*,27,7.4,6.4,23,9.7,7.4,*,*,*,*,,
2020,,10X246,,,,61,,*,*,*,*,,,8,10.9,8.4,*,*,*,20,6.6,5.2,27,8.8,8.0,*,*,*,*,,
2020,,10X254,,,,41,,*,*,*,*,,,8,11.4,7.5,*,*,*,18,4.9,3.9,11,6.1,4.0,*,*,*,*,,
2020,,10X279,,,,75,,*,*,*,5,9.4,8.4,11,17.2,12.2,*,*,*,22,14.9,13.3,34,7.8,7.1,*,*,*,*,,
2020,,10X280,,,,65,,*,*,*,*,,,*,,,*,*,*,18,10.6,10.8,44,10.9,9.9,*,*,*,*,,
2020,,10X291,,,,42,,*,*,*,*,,,*,,,*,*,*,16,13.5,13.0,23,12.4,11.0,*,*,*,*,,
2020,,10X306,,,,49,,*,*,*,*,,,12,11.0,6.6,*,*,*,20,11.7,9.3,15,8.9,8.2,*,*,*,*,,
2020,,10X307,,,,31,,*,*,*,*,,,*,,,*,*,*,8,9.6,6.7,19,8.4,5.3,*,*,*,*,,
2020,,10X308,,,,18,,*,*,*,*,,,*,,,*,*,*,*,,,10,10.0,6.7,*,*,*,*,,
2020,,10X310,,,,50,,*,*,*,*,,,6,14.6,12.6,*,*,*,19,12.5,11.0,24,8.7,8.0,*,*,*,*,,
2020,,10X315,,,,15,,*,*,*,*,,,*,,,*,*,*,5,13.4,10.5,8,13.4,9.8,*,*,*,*,,
2020,,10X331,,,,34,,*,*,*,*,,,7,8.7,2.7,*,*,*,14,4.6,4.0,8,7.6,5.5,*,*,*,*,,
2020,,10X340,,,,45,,*,*,*,*,,,*,,,*,*,*,13,13.3,12.2,27,12.7,10.2,*,*,*,*,,
2020,,10X344,,,,29,,*,*,*,*,,,*,,,*,*,*,*,,,18,8.1,5.4,*,*,*,*,,
2020,,10X360,,,,37,,*,*,*,*,,,5,15.5,14.5,*,*,*,9,8.2,7.9,23,10.7,9.9,*,*,*,*,,
2020,,10X363,,,,94,,*,*,*,*,,,16,8.3,1.6,*,*,*,33,8.8,3.0,44,6.6,3.3,*,*,*,*,,
2020,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),10X368,,,,72,,*,*,*,5,13.5,12.5,21,14.0,7.4,*,*,*,18,12.2,7.1,26,9.3,7.0,*,*,*,*,,
2020,,10X382,,,,19,,*,*,*,*,,,*,,,*,*,*,*,,,12,12.3,7.3,*,*,*,*,,
2020,,10X386,,,,49,,*,*,*,*,,,6,15.9,8.8,*,*,*,18,8.7,4.9,24,6.8,3.9,*,*,*,*,,
2020,,10X390,,,,48,,*,*,*,*,,,9,8.8,5.2,*,*,*,25,8.8,6.3,12,5.0,4.2,*,*,*,*,,
2020,,10X391,,,,50,,*,*,*,*,,,19,10.4,4.6,*,*,*,12,12.1,7.9,17,9.0,5.7,*,*,*,*,,
2020,,10X396,,,,57,,*,*,*,*,,,*,,,*,*,*,13,11.3,6.8,39,6.5,5.5,*,*,*,*,,
2020,,10X447,,,,39,,*,*,*,*,,,8,10.4,6.0,*,*,*,17,5.8,4.5,10,8.2,4.7,*,*,*,*,,
2020,,11X016,,,,28,,*,*,*,*,,,8,14.1,12.3,*,*,*,*,,,18,17.8,16.9,*,*,*,*,,
2020,,11X019,,,,32,,*,*,*,*,,,*,,,*,*,*,*,,,28,15.4,12.4,*,*,*,*,,
2020,,11X021,,,,46,,*,*,*,*,,,19,16.0,11.1,*,*,*,*,,,19,14.5,13.9,*,*,*,*,,
2020,,11X041,,,,59,,*,*,*,*,,,24,10.6,8.6,*,*,*,10,10.7,7.0,22,8.1,6.7,*,*,*,*,,
2020,,11X068,,,,70,,*,*,*,*,,,27,11.3,8.7,*,*,*,8,7.1,6.1,32,13.0,10.3,*,*,*,*,,
2020,,11X076,,,,69,,*,*,*,*,,,10,7.7,5.2,*,*,*,10,6.6,5.8,45,6.1,4.4,*,*,*,*,,
2020,,11X078,,,,57,,*,*,*,*,,,24,13.1,12.5,*,*,*,7,6.6,8.2,24,12.7,11.9,*,*,*,*,,
2020,,11X083,,,,114,,*,*,*,*,,,5,20.6,13.9,*,*,*,17,13.4,9.8,90,13.6,11.2,*,*,*,*,,
2020,,11X087,,,,34,,*,*,*,*,,,14,14.4,10.6,*,*,*,*,,,16,15.2,13.1,*,*,*,*,,
2020,,11X089,,,,98,,*,*,*,*,,,12,8.0,5.9,*,*,*,14,8.2,7.7,70,8.7,7.5,*,*,*,*,,
2020,,11X096,,,,68,,*,*,*,*,,,6,16.2,15.2,*,*,*,9,10.1,8.5,51,10.8,9.7,*,*,*,*,,
2020,,11X097,,,,46,,*,*,*,*,,,*,,,*,*,*,6,7.2,9.3,34,15.1,13.3,*,*,*,*,,
2020,,11X103,,,,78,,*,*,*,6,12.6,11.9,7,12.2,11.2,*,*,*,16,10.7,8.7,47,11.5,10.3,*,*,*,*,,
2020,,11X105,,,,79,,*,*,*,*,,,10,16.0,14.0,*,*,*,20,15.0,12.7,47,11.3,10.8,*,*,*,*,,
2020,,11X106,,,,80,,*,*,*,*,,,13,17.3,14.4,*,*,*,21,10.3,7.6,42,15.2,13.5,*,*,*,*,,
2020,,11X108,,,,41,,*,*,*,*,,,*,,,*,*,*,*,,,34,10.6,8.7,*,*,*,*,,
2020,,11X111,,,,50,,*,*,*,*,,,16,14.9,13.2,*,*,*,11,12.5,4.7,21,13.6,13.0,*,*,*,*,,
2020,,11X112,,,,36,,*,*,*,*,,,15,12.5,9.6,*,*,*,7,6.0,4.2,13,17.9,17.4,*,*,*,*,,
2020,,11X121,,,,55,,*,*,*,*,,,12,14.4,10.5,*,*,*,*,,,34,13.4,11.8,*,*,*,*,,
2020,,11X127,,,,66,,*,*,*,7,5.8,5.3,19,6.6,5.1,*,*,*,15,8.2,6.0,22,7.3,5.9,*,*,*,*,,
2020,,11X144,,,,41,,*,*,*,*,,,7,17.3,16.2,*,*,*,*,,,29,10.1,9.2,*,*,*,*,,
2020,,11X153,,,,45,,*,*,*,*,,,9,17.9,14.4,*,*,*,*,,,31,12.4,10.5,*,*,*,*,,
2020,,11X160,,,,37,,*,*,*,*,,,9,5.8,3.6,*,*,*,6,5.5,4.9,21,12.1,11.6,*,*,*,*,,
2020,,11X169,,,,27,,*,*,*,*,,,9,8.4,2.3,*,*,*,*,,,15,8.2,4.5,*,*,*,*,,
2020,,11X175,,,,22,,*,*,*,*,,,*,,,*,*,*,*,,,18,8.8,6.1,*,*,*,*,,
2020,,11X178,,,,35,,*,*,*,*,,,*,,,*,*,*,*,,,28,12.3,10.5,*,*,*,*,,
2020,,11X180,,,,81,,*,*,*,*,,,32,10.9,5.3,*,*,*,14,8.9,7.8,29,9.6,8.1,*,*,*,*,,
2020,,11X181,,,,70,,*,*,*,*,,,19,13.5,7.4,*,*,*,5,7.7,6.6,43,8.8,6.1,*,*,*,*,,
2020,,11X189,,,,30,,*,*,*,*,,,8,9.4,6.8,*,*,*,9,11.7,8.4,10,9.8,5.7,*,*,*,*,,
2020,,11X194,,,,92,,*,*,*,6,13.4,10.9,8,15.1,9.3,*,*,*,13,12.1,6.8,62,11.9,9.1,*,*,*,*,,
2020,,11X287,,,,48,,*,*,*,*,,,18,10.4,1.7,*,*,*,6,3.1,1.5,19,8.1,2.7,*,*,*,*,,
2020,,11X326,,,,28,,*,*,*,*,,,10,12.6,7.3,*,*,*,6,9.2,5.8,10,12.0,6.0,*,*,*,*,,
2020,,11X355,,,,28,,*,*,*,*,,,18,9.8,2.7,*,*,*,*,,,6,7.7,3.3,*,*,*,*,,
2020,,11X357,,,,33,,*,*,*,*,,,*,,,*,*,*,10,9.6,3.3,17,8.4,2.8,*,*,*,*,,
2020,,11X370,,,,38,,*,*,*,*,,,12,10.8,2.5,*,*,*,*,,,21,10.2,3.3,*,*,*,*,,
2020,,11X462,,,,20,,*,*,*,*,,,10,13.9,6.8,*,*,*,6,5.8,5.3,*,,,*,*,*,*,,
2020,,11X468,,,,30,,*,*,*,*,,,9,5.4,3.8,*,*,*,9,7.2,3.6,8,6.7,3.5,*,*,*,*,,
2020,,11X481,,,,20,,*,*,*,*,,,*,,,*,*,*,10,6.5,2.2,5,1.1,1.1,*,*,*,*,,
2020,,11X483,,,,15,,*,*,*,*,,,*,,,*,*,*,*,,,10,6.6,2.3,*,*,*,*,,
2020,,11X498,,,,44,,*,*,*,*,,,*,,,*,*,*,9,10.3,4.8,28,10.4,5.7,*,*,*,*,,
2020,,11X529,,,,42,,*,*,*,*,,,10,9.1,4.1,*,*,*,15,6.1,2.8,15,6.6,4.6,*,*,*,*,,
2020,,11X532,,,,23,,*,*,*,*,,,7,6.1,3.0,*,*,*,*,,,12,5.5,3.7,*,*,*,*,,
2020,,11X556,,,,41,,*,*,*,*,,,7,8.2,4.6,*,*,*,6,6.8,3.4,22,4.6,3.5,*,*,*,*,,
2020,,11X566,,,,37,,*,*,*,*,,,17,9.1,3.0,*,*,*,*,,,16,9.8,4.3,*,*,*,*,,
2020,,11X567,,,,36,,*,*,*,*,,,*,,,*,*,*,8,7.9,3.2,20,5.4,2.4,*,*,*,*,,
2020,,12X006,,,,44,,*,*,*,*,,,10,12.1,8.1,*,*,*,11,16.3,16.0,21,10.9,7.1,*,*,*,*,,
2020,,12X044,,,,26,,*,*,*,*,,,5,12.1,12.1,*,*,*,*,,,16,2.8,1.6,*,*,*,*,,
2020,,12X047,,,,79,,*,*,*,*,,,13,17.2,16.8,*,*,*,15,11.6,5.3,50,9.0,7.9,*,*,*,*,,
2020,,12X057,,,,45,,*,*,*,*,,,11,16.6,13.3,*,*,*,9,16.2,6.7,23,7.8,7.0,*,*,*,*,,
2020,,12X061,,,,24,,*,*,*,*,,,5,11.8,7.5,*,*,*,7,6.1,5.8,12,6.9,4.7,*,*,*,*,,
2020,,12X066,,,,51,,*,*,*,*,,,7,12.8,8.3,*,*,*,16,12.8,10.9,25,9.0,7.9,*,*,*,*,,
2020,,12X067,,,,38,,*,*,*,*,,,*,,,*,*,*,16,5.5,4.7,13,3.3,3.1,*,*,*,*,,
